,text
615,Foetal mechanism helps heart failure
616,"Planned cesareans not risk-free, group warns"
617,Scientists tout cocoa's health benefits
618,Feeding your brain: new benefits found in chocolate
619,Some cocoa may improve brain blood flow
620,Lawyer for deceased Nazi-era collaborator Papon vows to bury him 
621,"Cocoa could be antidote to age-related diseases, says new study"
622,China denies reports of North Korean apology
623,Hungarian opposition calls for vote after violence escalates
624,AU regrets Sudan's expulsion of UN envoy 
625,Bush officials: no big move in Iraq plan 
626,Opponent is put on the spot over remarks about Clinton
627,House ethics panel talks to Hastert aide
628,BellSouth says profit rises 30% on cingular earnings
629,Enron boss gets 24-year sentence
630,Sony apologizes for battery recall
631,Google unveils do-it-yourself search engine
632,Firefox 2.0 hits the Web
633,Oracle World opens with Dell unveiling AMD-powered computers
634,Seahawks' QB Hasselbeck out 2-4 weeks
635,Marathon winner released from hospital 
636,Punter charged with stabbing asks to live outside state
637,Allmendinger joining Toyota team in NASCAR 
638,Trying to assess the damage in Cleveland 
639,Bryant's boot may have salvaged Bucs' season
640,This week in auto racing October 27 - October 29
641,Merriman violation stuns ex-teammate
642,Bruce revells in upset
643,Steelers' Roethlisberger has concussion
644,Arthurs upsets Robredo in first round at the St. Petersburg Open
645,Mbeki: 2010 World Cup Planning on Track
646,Clinical Everton show Moyes means business
647,MS Adds Office 2007 to Vista Coupon Program
648,One search does not fit all
649,Apple's dark secret? The 39% claim
650,Bad weather cancels men's downhill
651,Cool millions for YouTube founders
652,"London market a shopping, dining haven"
653,'Jackass' star marries childhood friend The secrets people reveal
654,Audio Slide Show: A love story lasting 61 years
655,Microsoft to release next generation phone
656,Body Shop's Roddick has Hepatitis C
657,Teen allegedly armed by mom turns self in
658,Oxfam: action needed for Chad
659,Violence continues at disputed holy site
660,Storm leaves behind major travel troubles
661,3 U.S. troops killed hunting weapons cache
662,China's 'Friends' highlights Web freedoms
663,NATO: Afghanistan peace 'by 2009'
664,Alaska's northern lights captivate Japanese
665,Smith can't be buried until hearing
666,Spacewalker sets new U.S. record
667,Fortune: India the Superpower? Think again
668,Kerry blasts 'escalation of misguided war'
669,Anna Nicole claimant: A prince of a guy?
670,'Ronnie' and Eto'o hug and make up
671,Best of the Chicago Auto Show
672,"'Grey's,' 'Betty,' 'Scrubs' get boost"
673,Massive mud traps dozens of families
674,"Edwards blogger quits, becomes journalistic martyr"
675,Town packs gym to mourn 10 killed in fire
676,Spain ahead although Nadal is out
677,ECB holds rates at 3.5 percent
678,Iran rejects US claims of supplying weapons in Iraq
679,Jakarta begins disinfection
680,"Rowling 'heartbroken,' 'euphoric' at 'Potter's' end"
681,Apple revs up Mac attacks on Vista
682,Fear hinders black marrow donation
683,Texan allegedly joined Somalia rebel plot
684,"U.S. to allow 7,000 Iraqi refugees"
685,Japan: Whaling activists 'terrorists'
686,'Hannibal' bites the big one
687,Women protest Pakistan demolition
688,Wii news for gamers
689,Democrats look beyond symbolic vote on Iraq
690,Portugal to vote on abortion laws
691,Frustration rises as North Korea nuclear talks stall
692,Horse teeth give details of ancient big chill
693,Scam lures victims with free puppy offer
694,Two Koreas to resume talks
695,Mickelson driving force at masters
696,England opt for Bopara over Loye
697,Create own 'Thrillville' for a wild ride
698,Edwards' campaign blogger quits amid Catholic controversy
699,Judge: Preserve Anna Nicole's body
700,"Dolphins, sea lions may report for duty soon"
701,Nasdaq-LSE battle nears deadline
702,A personal plea for HPV vaccine plan
703,U.S. opens door for Iraqi refugees
704,Swiss plane crashes at Moscow airport
705,Study: napping might help heart
706,MySpace sales surging
707,"Telecoms giant slashes 12,500 jobs"
708,Air France KLM profit rises
709,Uganda parliament votes to send troops to Somalia
710,King and queen reign at British film awards
711,Murphys rule box office with 'Norbit'
712,Thousands rally in Lebanon
713,Yahoo's mission quest
714,Area should get 3-5 inches of snow today
715,Miss Brazil wins lawsuit competition
716,"Snow wreaks havoc in East, Midwest"
717,The secrets people reveal
718,Research supports medicinal marijuana
719,All African amputee football games kick off
720,Group: Video shows chopper go down
721,Sale of Chrysler possible
722,Russia condemns terrorist acts on buses outside Beirut
723,Technology may save India's river dolphins
724,Airbus A380 superjumbo takes off
725,Naps are great for chaps
726,Female astronaut sets record
727,Corn stoves popping up in U.S. homes
728,Iraq closes borders with Syria and Iran
729,The troubling ending of 'The Departed'
730,Vietnamese bank plans IPO listing
731,Toyota's Scion parks in Second Life
732,Obama will run in 2008
733,'Cagney & Lacey' finally coming to DVD
734,Merkel: Stop Iran
735,Salt Lake City mall shooter was teenager
736,Female astronaut sets record
737,Oil holds at $58
738,Obama announces presidential bid
739,Tell your boss: Naps are good for you
740,Serbia rejects United Nation's Kosovo plan
741,Amish discuss shootings
742,"Jail me, I ate Ivory Coast chocolate"
743,Can North Korea be trusted?
744,Tourism lags in Bush's hometown
745,Astronaut's arrest tests NASA's mettle
746,Man gets second chance at space ride
747,"Go ahead, take a nap, science says"
748,Weekly Nielsen will 'Lost' find its way back?
749,Brith Airways baggage charges cause confusion
750,Indonesian with bird flu dies
751,St. Louis poised for entertainment upswing
752,New York City may ban iPods while crossing street
753,Boy allegedly told to kill by mom gives up
754,Gray wolves off endangered list
755,Vista's hyped security will be tested
756,UK police slammed over terror raid
757,Mogadishu residents flee blasts
758,Bomb kills 18 on military bus in Iran
759,"'WarioWare,' Wii make perfect fit"
760,U.S. at odds with cleric's aide
761,Desperate Iraqi mother relies on militia for help
762,Full details of the EU report on Iran
763,Singer on Cowell: Glad he was mean
764,Jones faces Europe meetings snub
765,Beckham goal helps Real snatch win
766,Guinea: Plan offices close as country declares emergency
767,Japan's economy grows
768,United Nations peacekeepers raid Haitian slum
769,Work starts on Arctic seed vault
770,Social networking goes mobile
771,"Beauticians cut, curl, offer stroke-prevention info"
772,"Siesta cuts risk of heart disease death, study finds"
773,Thomas Cook to merge with MyTravel
774,Nap your way to a successful career
775,Village buried by 100 inches of snow
776,Oprah announces new book club pick
777,The science of love ... and lust
778,"Northeaster cancels flights, shuts schools"
779,Napping may be good for your heart
780,Ryan O'Neal injured son's girlfriend
781,Chrysler's Valentine's Day massacre
782,Madrid bombings trial begins
783,Fight starts over HPV vaccine
784,Autos drive European gains
785,James Brown's partner can get her things
786,Auto show canceled
787,UK luxury maker Burberry: 'Made in China'?
788,On-the-job naps might cut heart risk
789,"No. 1 Florida survives Rupp Arena, streak hits 16"
790,J.K. Rowling marks spot of 'Potter's' end
791,Gronholm takes a commanding lead
792,Howard slams Obama on Iraq policy
793,Manila hints at ransom approval
794,Champion Murray too good for Kim
795,"G7: Yen skates by, yuan singled out"
796,Gunman 'was Srebrenica survivor'
797,Cutting through the clutter to get things done
798,Mother: Lohan is doing 'great' in rehab
799,Who's going to win at the Grammys?
800,"Libby defense upsets judge, rests"
801,Breakup rings find new homes
802,Gronholm ahead as Solberg crashes
803,'Norbit' a waste of Murphy
804,Rocky start for Bangkok airport
805,12 dead in Lebanese minibus bombings
806,Sex torture claims hit Russia army
807,Mega-marsupials once roamed Australia
808,Rupert Murdoch's secret TiVo
809,"UPDATE 1-Plane crashes at Moscow airport, no passengers"
810,HPV vaccination stirs heated debate in America
811,Court TV: Accused killer tells jury a love story
812,Whistle-blowing Web site exposed
813,"Start late, retire rich"
814,Somali PM vows to bring Islamists to justice
815,Swingers more common than most think
816,Anna Nicole Smith fans mourn in cyberspace
817,Antibiotic Ketek more dangerous than thought
818,Time to book your cruise
819,'Blazing Angels' for PS3 fails to soar
820,North Korea aid demand stall talks
821,Cartoon Network head steps down
822,Malaysia aggressively wooing tourists
823,Anna Nicole Smith's Bahamas home seized
824,Andromeda involved in galactic collision
825,Rwanda mulling 3-kid limit for families
826,Wilkinson sets record in tame win
827,Army engineers say dam safe
828,France: Al Qaeda suspects arrested
829,Utah gunman survived Srebrenica
830,Creating a whole album in a month?
831,India to test new nuclear missile
832,G7 to China: Ease exchange rate grip
833,Hatton hands back IBF title again
834,"Bernanke: Economy healthy, but..."
835,"Mickelson, Sutherland share lead"
836,"Napping is good for your heart, study finds"
837,Princess Masako author: No regrets
838,Students use IM-lingo in essays
839,Malaysia launches tourism campaign
840,Study: Africa's Internet gap getting wider
841,Travel chaos as heavy snow hits UK
842,Paula Abdul: 'I have never been drunk'
843,Salmonella outbreak traced to peanut butter
844,Putin: U.S. force fostering nuke ambitions
845,"Nuke detectors to ring New York, official says"
846,Double bus-bombing kills three in Lebanon
847,Davydenko out as seeds scattered
848,Obama: I'm running for president
849,Paterson boots Scotland to victory
850,"African-Americans are organ donors these days, but what about bone marrow?"
851,Study: On-the-job naps might help heart
852,"Guinea capital largely calm under curfew, marital law"
853,Bosses sleeping on idea of letting workers take naps
854,Teacher's porn conviction sparks tech debate
855,Singapore pampers its waterfront promenade
856,Rwanda mulls three-child limit
857,Samsung settles price-fixing lawsuit
858,"Radical cleric al-Sadr in Iran, U.S. insists"
859,Reports: Harvard set to name first female president
860,Iraq unveils new security plans
861,University offers support to New Orleans school
862,"Storm causes slick, icy roads"
863,South Korea fire kills 10 foreigners
864,Prehistoric lovers found locked in eternal embrace
865,Charts: Is your city lean or lethargic?
866,Peru leader questioned in massacre probe
867,U.S. commander: Iraq not hopeless
868,Australian PM stands by Obama attack
869,Mardi Gras rebound in the offing for New Orleans?
870,Siestas may cut heart disease risk
871,"Oregon snorkeler mistaken for rodent, shot in face"
872,Petraeus takes command in Iraq
873,6 dead after Utah Mall shooting rampage
874,Sharks kill four people in 'dull' year
875,Record-shattering day on Wall St.
876,Comedian says government silences critics
877,Rockers big winners at Brit Awards
878,Samba school leader killed before Rio carnival
879,"Taiwan's 'Mr. Clean' indicted, steps down"
880,Woman fights to keep drunken driver in jail
881,Al Qaeda group calls for attacks on U.S. oil
882,Cousin: Gunman was Srebrenica survivor
883,Turkmenistan votes for president
884,Here is some advice to take to heart...
885,10 don't-miss tax breaks
886,Police break up Kosovo protests
887,Messi makes Barcelona squad return
888,Jump reported in accidental drug-overdose deaths
889,Catania punished for fan violence
890,Isinbayeva sets 20th world record
891,Lawmakers blast FDA drug safety oversight
892,Regular naps make hearts healthy
893,Ice stops trolleys cold
894,U.S. gunman 'was Srebrenica survivor'
895,Outdated baby food found on shelves
896,Tow truck drivers accused of stealing cars
897,Bush: It's time for Congress to back energy plan
898,UK soldiers cleared of Iraq abuse
899,FDA revises label warnings on the antibiotic Ketek
900,Toshiba Portege R400
901,South Africa mourns Adelaide Tambo
902,Evacuees can return home after plant blast
903,Anna Nicole Smith's body lies in legal limbo
904,Former teacher poses for Playboy
905,France rejects Rwandan investigators
906,A nap a day may keep the heart doctor away
907,"Higley, Gonzalez lead in Malaysia"
908,Grammys ready to name winners
909,Pound will not drop Armstrong case
910,Reunited Police to start world tour in May
911,Turkmen acting leader sworn in as new president
912,Allen and Okur get All-Star call
913,Svindal claims are golden double
914,"Trolley Square shooting leaves 6 dead, including gunman"
915,Bridge blast stops I-95 traffic
916,"Mother, daughter stabbed near school"
917,Excerpt: Politicians and the press
918,North Korea gets 'money and respect'
919,Beyonce in a bikini as SI's swimsuit cover model
920,Loving with all your ... brain
921,Shoplifters' choice: Police or T-shirt of shame
922,Cuban official: Web a 'wild colt'
923,Slow 'Music and Lyrics'
924,Mexican navy helps in hunt for U.S. engineer
925,Smith baby may not be pot of gold
926,Latest updates on world's top stories
927,Beating leaves teen in coma
928,Tiempo Libre has Grammy dreams
929,GPS sneakers locate with press of a button
930,Embattled Edwards blogger quits campaign
931,Britons deported from Somalia held under Terrorism Act
932,Updates on world's top stories
933,Breast cancer drug promises hope
934,Ancient coin shows Cleopatra was no beauty
935,YouTube yields surprising payback
936,Up to 22 inches of snow in forecast
937,Werder make 10-man Ajax pay price
938,EU condemns 'illegal' CIA flights
939,Report links humans to global warming
940,UN nuclear watchdog slashes Iran aid
941,Survey: Tech a tool in teen dating abuse
942,The breast cancer breakthrough saving 1000 women a year
943,"Tourist spot resists gravity, but not progress"
944,The NFL's 20 biggest potential free agents
945,World tourism sets record in 2006
946,BA to charge $470 for an extra bag
947,Kuerten returns to winners' circle
948,World's oldest newspaper now exists only online
949,Japanese whaler afire in Antarctic
950,EU document: Iranian bomb unstoppable
951,U.S. urged to lead on 'green' actions
952,See if your city is one of the United States' top 10 fittest or fattest
953,Lee in pre-World Cup injury scare
954,New cancer drug to save a thousand lives a year
955,Ex-teacher guilty in nude-pictures scheme
956,Fire extinguisher part of Tennessee execution kit
957,Founder returns to Dell helm
958,Charles Gibson takes over first place
959,Ex-Border Patrol agent beaten in prison
960,'Made in China' irks some Burberry shoppers
961,Stonehenge workers' village found
962,Who is Prince Frederic von Anhalt?
963,Latest food-fad -- 'space potatoes'
964,Ethiopia readies for millennium all its own
965,Good news for slackers: Naps may cut risk for heart problems
966,Snowbirds shortening their Florida stays
967,Win a (concert) date with the Police
968,"Snow begins, heavy accumulations expected"
969,"Jet flips in snowstorm, none dead"
970,Frantic 911 call in Ryan O'Neal case
971,Durant's success trumps the Gators
972,Scientist snoops in astronauts' journals
973,YouTube founders split $650M payout
974,African nation hopes Whoopi can help
975,United hang on to six-point lead
976,Lawyer seizes Smith's Bahamas home
977,Was Prince's super show too revealing?
978,Clijsters looks for a long goodbye
979,Snow's too deep even for snowmobiles
980,Study: Female seals picky about mates
981,"ROUNDUP: Protests erupt despite ""state of siege"" In Guinea"
982,Study: More kids exposed to online porn
983,Beyonce new SI bikini cover girl
984,"Marijuana helps ease HIV nerve pain, study says"
985,Serena misses Bangalore tournament
986,"Dryer blamed for fire killing 39 cats, dogs"
987,"Roddick, Murray score in San Jose"
988,Apple trademark dispute settled
989,U.S. online love brokers eye China
990,U.S. diverts troops to fight Taliban
991,'House of Cards' actor Ian Richardson dead
992,Taliban leader killed in airstrike
993,Escape to Prague without the summer hordes
994,Kathmandu: First snow in 63 years
995,Nasdaq fails in bid for LSE
996,Ex-pastor gets death sentence
997,Baby born on turnpike after dad misses exit
998,Study links chimps and 'hammers'
999,UN-Google Earth map climate change
1000,Mortar assault leaves at least 18 dead
1001,Goal delight for Sheva
1002,Nigeria hostage feared dead is freed
1003,Bombers kill shoppers
1004,"Vegetables, not fruit, slow brain decline"
1005,PM: Havana deal a good experiment
1006,Kate is marrying Doherty
1007,NASA revisiting life on Mars question
1008,"Happy birthday, iPod"
1009,Alonso would be happy to retire with three titles
1010,Madonna's New Tot 'Happy at Home' in London
1011,Nicole Kidman asks dad to help stop husband's drinking
1012,United Finds Good Connection in Win
1013,'Runway': Making Good Without Making Nice
1014,"We were 'arrogant and stupid' over Iraq, says US diplomat"
1015,Bad reasons to be good
1016,Madonna's new baby's daddy didn't realize adoption was `for good'
1017,Women in their 60s 'are perfectly good mothers'
1018,We're a pretty kind 'bully'
1019,Moderate drinking reduces men's heart attack risk
1020,Tom Cruise and Katie Holmes set wedding date
1021,Kidnapped AP photographer freed in Gaza
1022,"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory"
1023,Hurricane Paul Weakens To Tropical Storm
1024,UK announces immigration restrictions
1025,Three found alive from missing Russian ship -report
1026,Poison Pill to Swallow: Hawks Hurting After Loss to Vikes
1027,Injured Marathon Winner Leaves Hospital
1028,Hacker unlocks Apple music download protection
1029,Spanish journalist seized in Gaza
1030,Sudan urges UN to replace its special envoy
1031,Resolution approved for international games
1032,Pair of Satellites Will Document Sun in 3-D
1033,Martian Life Could Have Evaded Detection by Viking Landers
1034,The sweet tune of an anniversary
1035,Did Viking Probes Miss Life on Mars?
1036,Diplomat acknowledges US arrogance in Iraq
1037,More Human Remains Found at Ground Zero
1038,How to Prevent Iraq From Getting Even Worse
1039,Tensions as Hungary marks uprising
1040,Stanford study warns of Internet addiction
1041,No evidence of ice reserves on the moon
1042,A Picture and A Thousand Words
1043,Parachutist dies at bridge-jump festival
1044,US Troops Killed In October In Iraq
1045,"Chefs not counting calories, study finds"
1046,Deaths linked to flu vaccine
1047,Perfect lives lose their focus
1048,Bread-Heavy Diet Linked to Kidney Cancer
1049,Beating poverty in a small way
1050,Israel insists on Lebanon overflights
1051,Britain to restrict immigrants from new EU members
1052,Confusion Reigns In the Expanding Digital World
1053,Game on! London exhibition celebrates the history of video games
1054,Making peace from victory over poverty
1055,Marine killed in fighting west of Baghdad
1056,Scientists create first cloaking device
1057,Amateur rocket scientists reach for space
1058,Confusion Reigns In the Expanding Digital World
1059,Deaths linked to flu vaccine
1060,Israel admits using phosphorous shells in Lebanon
1061,4th person dies after receiving flu shot
1062,Police and shoppers targeted in growing Iraq violence
1063,Scientists discover miracle in the depths
1064,Doctors Seeing Patients Who Think They're Internet Addicted
1065,China launches two satellites into orbit
1066,Vegetables May Boost Brain Power in Older Adults
1067,Hurricane Paul nears Category 3 status
1068,"Russian ship sinks, 18-member crew missing"
1069,Iran's president urges higher birth rate
1070,Apple set for massive market gains
1071,Tumor Types May Explain Survival Rates for Cancer
1072,Routine mission turns into hunt for missing comrade
1073,Bad weather slows S.Korean search for Russian ship
1074,Tailors and housewives busy as Muslims celebrate Eid
1075,Active peace brings the promise of development
1076,Abbas condemns Israeli massacre in northern Gaza Strip
1077,"Bangladesh ferry sinks, 15 dead"
1078,Bucs find a new kick in life
1079,Google to unveil election mashup
1080,Police warn of child exploitation online
1081,Breast Cancer Awareness is Important
1082,Hungary police tackle violent protestors
1083,Three drivers had reason to be proud in Brazil
1084,Celebrities Protest Malibu Gas Facility
1085,Lebo: A life lived on the edge
1086,"Presto! He's Batman, then magic man"
1087,"Heavy use of mobile phones can make men infertile, scientists say"
1088,Russian ship sinks in Pacific
1089,China Successfully Launches Two Satellites
1090,Prestige has magic touch
1091,"Lies, damned lies, and divorce"
1092,Manning inspires Giants to victory in Dallas
1093,Riot warning for France suburbs
1094,Full recovery expected for marathon winner
1095,Sony apologises for global battery recall
1096,Questions on credit card safety
1097,Budapest calm after night of violent protests
1098,Vegetables May Boost Brain Power in Older Adults
1099,Report criticises US press freedoms
1100,French suburb riots could resume
1101,Photographer kidnapping condemned
1102,Photographer kidnapped in Gaza
1103,Baseball: Rogers enjoys his muddied streak
1104,"Cultural revolutionary, the iPod is five"
1105,Life on Mars? Maybe We Missed It
1106,Three found alive from missing Russian ship -report
1107,Moderate drinking reduces men's heart attack risk
1108,The sweet tune of an anniversary
1109,Inconvenient truths
1110,Dating difficult for Harry Potter
1111,Students lose their rite of passage
1112,Putin vows to tackle illegal immigration
1113,Ottawa must redefine 'terror'
1114,"Britain to Limit Workers from Romania, Bulgaria"
1115,Top General Optimistic on Iraq
1116,Kim Osorio Wins Sexual Harrassment Suit Against The Source
1117,Silly and substantial
1118,Official laughs for Borat
1119,Speaker Hastert testifies before panel probing sex scandal
1120,On Educating Sexes Separately
1121,Tom Cruise and Katie Holmes set wedding date
1122,Martian Life Could Have Evaded Detection by Viking Landers
1123,Ukraine gas deal marred by fears
1124,Marathon victory comes at heavy cost
1125,College tuition continues climbing
1126,German paper shows soldiers desecrating skull
1127,"War is close, Ethiopia tells Somali rebels"
1128,Advantage Cardinals with Suppan in Game 4
1129,NASA spacecraft to measure Sun
1130,"Sony Hates Europeans, Will Prevent The Importing of PS3"
1131,Flu Vaccine Appears Safe for Young Children
1132,Google To Launch Yet Another Search Tool
1133,Tropical Storm Paul's Outer Bands Hit Mexico's Baja California
1134,Israeli Bomblets Plague Lebanon
1135,"New Indonesia Calamity, a Mud Bath, Is Man-Made"
1136,U.S. Weighs Sanctions Against North Korea
1137,"Rice, in Baghdad, Insists That Iraqis Are "
1138,Senator Says U.S. Should Rethink Iraq Strategy
1139,German Chief Forges Accord on Financing Health Care
1140,Turkish Writers Say Efforts to Stifle Speech May Backfire
1141,Kurdish Lawmaker Killed in an Attack in Baghdad
1142,Anti-U.S. Attack Videos Spread on the Internet
1143,"Women Face Greatest Threat of Violence at Home, Study Finds"
1144,Appeal by Chinese Researcher for Times May Soon Be Heard
1145,Brazil Air Force Cites Faults and Confusion in Fatal Crash
1146,A Mix of Oil and Environmentalism
1147,Immigrants and French Reach Deal in Standoff
1148,Genghis Khan Beer? Mongolia Grimaces
1149,Dead Bachelors in Remote China Still Find Wives
1150,"Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu"
1151,Paris Journal: Smoking No Longer Tres Chic in France
1152,An Old Letter Casts Doubts on Iran's Goal for Uranium
1153,U.S. Warns North Koreans About Nuclear Test
1154,Global Sludge Ends in Tragedy for Ivory Coast
1155,Equipment on Plane in Brazil Collision May Have Been Faulty
1156,"New Indonesia Calamity, a Mud Bath, Is Man-Made"
1157,Iraqi Journalists Add Laws to List of Dangers
1158,U.N. Force Is Treading Lightly on Lebanese Soil
1159,Cleric Said to Lose Reins Over Part of Iraqi Militia
1160,"Citing Spy Agencies' Study, Democrats Seek Iraq Changes"
1161,Opera Canceled Over a Depiction of Muhammad
1162,Military Officials Add to U.S. Criticism of Iraq's Government
1163,Teacher in Hiding After Attack on Islam Stirs Threats
1164,Combative Bush Releases Parts of Terror Study
1165,Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out
1166,"Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says"
1167,"Seduced by Snacks? No, Not You"
1168,Friends for Life: An Emerging Biology of Emotional Healing
1169,"Alzheimer's Drugs Offer No Help, Study Finds"
1170,"Across Europe, Worries on Islam Spread to Center"
1171,Cooking Defines Sephardic Jews at Sukkot
1172,"Fitness: Bodies in Motion, Clean and Sober"
1173,In God's Name: Religion-Based Tax Breaks: Housing to Paychecks to Books
1174,"Yankee Dies in Plane Crash, Official Says"
1175,An Elephant Crackup?
1176,"With YouTube, Grad Student Hits Jackpot Again"
1177,Dow flirts with record highs again
1178,Tropical Storm Isaac forms in Atlantic
1179,New Iraq terror tape calls for abducting foreigners
1180,'Deep regret' for ex-HP exec
1181,'Opportunity' knocks on geologist's dream crater
1182,Squirrel jumps boy in park; rabies suspected
1183,Girl left comatose after dental visit dies
1184,Porn star candidate campaigns on campus
1185,School ends football season after 0-4 start
1186,Charlie Sheen to become highest-paid sitcom star
1187,Jon Stewart mocks benefits of CNN's I
1188,Ashton Kutcher tells secret to Ryan Seacrest
1189,Nails-on-chalkboard study earns Ig
1190,Gunman 'fine' before shooting
1191,Marijuana may stave off Alzheimer's
1192,Kentucky seeks alcohol huffing ban
1193,Toddler died from tainted spinach
1194,Judge dismisses Karr's porn case
1195,10 die in 22-hour Kashmir standoff
1196,Slain Amish girls laid to rest
1197,"5,000 flee plant fire"
1198,Cher auction fetches double pre-sale estimates
1199,Stars scuffle on 'Grey's Anatomy'
1200,Probe under way in Yankee crash
1201,Amish schoolhouse torn down
1202,Warner will not run in '08
1203,Reid land deal under scrutiny
1204,"Flooding washes out road to Valdez, Alaska"
1205,Briton admits U.S. bomb plot role
1206,Commentary: Minutemen have a right to be idiotic
1207,Madonna files adoption papers
1208,Gunmen kill 9 at Iraqi TV station
1209,Hastert sorry for scandal but not quitting
1210,Ex-JonBenet suspect: Child porn case dropped 
1211,"Waste plant fire forces 5,000 to evacuate "
1212,Toddler died from E. coli tainted spinach 
1213,Disturbing finds in child sex raids 
1214,Magazine lists women who had abortions 
1215,"Pot smokers may avoid Alzheimer's, study says "
1216,Student starts white men's club on campus 
1217,Kentucky wants to ban alcohol inhalers 
1218,Peter Pan flies into chapter two 
1219,Teen repellent inventor wins infamous prize 
1220,"Cher's dress, car, bed have new owners"
1221,"Dow hits new record, eyes 12,000 "
1222,Ex-Virginia gov not running for president 
1223,Yankee pitcher's pilot log found 
1224,Dem leader's $1 million land deal under scrutiny 
1225,"Dad locked up son, watched on TV, police say "
1226,Navarrette: Minutemen have a right to be idiotic 
1227,"Pit bulls jump miniature pony, leave her bloody "
1228,Alaska town cut off from rest of state by flood 
1229,Trailblazing trio protects City by the Bay 
1230,Madonna files adoption papers in Malawi
1231,'Dr. McDreamy' choked in 'Grey's' scuffle 
1232,"$10,000 poetry prize awarded "
1233,Las Vegas honour for tiger pair 
1234,UK characters boosting box office 
1235,Cher items snapped up at auction 
1236,Griffiths scorns Withnail 'play' 
1237,Lily Allen wins web music award 
1238,Costner appeals in casino wrangle
1239,Beyonce copyright claim rejected 
1240,Cohn gunman jailed for 36 years 
1241,Melua's deep sea gig sets record 
1242,Sri Lanka clashes kill 129 troops 
1243,Gunmen kill 11 in Iraq TV raid 
1244,Italy drops Sicily bridge plans 
1245,Amish killings school demolished 
1246,Pamuk wins Nobel Literature prize
1247,Madonna adoption bid approved 
1248,Man admits UK-US terror bomb plot
1249,Who are you calling fat?
